Bolsa,Shannon,Pielou,Simpson,Simpson_Inverso,Gini,Chao1
Luna,2.341923915837503,0.9766581311553493,0.9005198487712666,10.052256532066508,0.9005198487712666,NA
Corazon,1.7196545796889389,0.7171516617913353,0.8012486992715921,5.031413612565446,0.8012486992715921,NA
Naranjas,0,0,0,1,0,NA
Verdes,0,0,0,1,0,NA
Alfa,1.7764490449915855,0.7408367934761594,0.7728531855955679,4.402439024390245,0.7728531855955679,NA
VR,1.9763492222949677,0.8242016424631198,0.845703125,6.481012658227848,0.845703125,NA
Happy_Face,2.2752367628243,0.9488474282569787,0.8871527777777778,8.861538461538462,0.8871527777777778,NA
